match_id,start_date,era_label,venue,venue_type,win_loss_flag,format
239919,2006-05-28,Early 2000s,"Queen's Park Oval, Port of Spain",Away,0.0,ODI
244510,2006-04-18,Early 2000s,Sheikh Zayed Stadium,Away,0.0,ODI
244511,2006-04-19,Early 2000s,Sheikh Zayed Stadium,Away,1.0,ODI
247464,2007-03-17,Early 2000s,"Queen's Park Oval, Port of Spain",Away,0.0,ODI
247468,2007-03-19,Early 2000s,"Queen's Park Oval, Port of Spain",Away,1.0,ODI
247476,2007-03-23,Early 2000s,"Queen's Park Oval, Port of Spain",Away,0.0,ODI
249211,2006-11-22,Early 2000s,Kingsmead,Away,0.0,ODI
249212,2006-11-26,Early 2000s,Newlands,Away,0.0,ODI
249213,2006-11-29,Early 2000s,St George's Park,Away,0.0,ODI
249214,2006-12-03,Early 2000s,SuperSport Park,Away,0.0,ODI
249745,2006-10-15,Early 2000s,Sawai Mansingh Stadium,Home,1.0,ODI
249753,2006-10-26,Early 2000s,"Sardar Patel Stadium, Motera",Home,0.0,ODI
249756,2006-10-29,Early 2000s,"Punjab Cricket Association Stadium, Mohali",Home,0.0,ODI
256607,2006-09-14,Early 2000s,Kinrara Academy Oval,Away,1.0,ODI
256608,2006-09-16,Early 2000s,Kinrara Academy Oval,Away,0.0,ODI
256612,2006-09-20,Early 2000s,Kinrara Academy Oval,Away,1.0,ODI
256614,2006-09-22,Early 2000s,Kinrara Academy Oval,Away,0.0,ODI
256665,2006-08-18,Early 2000s,Sinhalese Sports Club Ground,Away,1.0,ODI
258471,2007-08-21,Early 2000s,The Rose Bowl,Away,0.0,ODI
258472,2007-08-24,Early 2000s,County Ground,Away,1.0,ODI
258473,2007-08-27,Early 2000s,Edgbaston,Away,0.0,ODI
258474,2007-08-30,Early 2000s,Old Trafford,Away,0.0,ODI
258475,2007-09-02,Early 2000s,Headingley,Away,1.0,ODI
258476,2007-09-05,Early 2000s,Kennington Oval,Away,1.0,ODI
258477,2007-09-08,Early 2000s,Lord's,Away,0.0,ODI
267708,2007-01-27,Early 2000s,"MA Chidambaram Stadium, Chepauk",Home,0.0,ODI
267709,2007-01-31,Early 2000s,Indian Petrochemicals Corporation Limited Sports Complex Ground,Away,1.0,ODI
267710,2007-02-08,Early 2000s,Eden Gardens,Home,0.0,ODI
267712,2007-02-11,Early 2000s,Madhavrao Scindia Cricket Ground,Away,0.0,ODI
267713,2007-02-17,Early 2000s,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Home,1.0,ODI
267715,2007-02-14,Early 2000s,"Nehru Stadium, Fatorda",Away,1.0,ODI
275789,2007-08-16,Early 2000s,Titwood,Away,1.0,ODI
282688,2007-05-10,Early 2000s,Shere Bangla National Stadium,Away,1.0,ODI
282689,2007-05-12,Early 2000s,Shere Bangla National Stadium,Away,1.0,ODI
291359,2008-02-03,Transition Era,"Brisbane Cricket Ground, Woolloongabba",Away,1.0,ODI
291360,2008-02-05,Transition Era,"Brisbane Cricket Ground, Woolloongabba",Away,1.0,ODI
291362,2008-02-10,Transition Era,Melbourne Cricket Ground,Away,1.0,ODI
291365,2008-02-17,Transition Era,Adelaide Oval,Away,0.0,ODI
291366,2008-02-19,Transition Era,Adelaide Oval,Away,1.0,ODI
291368,2008-02-24,Transition Era,Sydney Cricket Ground,Away,0.0,ODI
291369,2008-02-26,Transition Era,Bellerive Oval,Away,1.0,ODI
291371,2008-03-02,Transition Era,Sydney Cricket Ground,Away,1.0,ODI
291372,2008-03-04,Transition Era,"Brisbane Cricket Ground, Woolloongabba",Away,1.0,ODI
293071,2007-06-23,Early 2000s,"Civil Service Cricket Club, Stormont",Away,0.0,ODI
293076,2007-06-26,Early 2000s,"Civil Service Cricket Club, Stormont",Away,0.0,ODI
293077,2007-06-29,Early 2000s,"Civil Service Cricket Club, Stormont",Away,1.0,ODI
293078,2007-07-01,Early 2000s,"Civil Service Cricket Club, Stormont",Away,1.0,ODI
297793,2007-09-29,Early 2000s,M Chinnaswamy Stadium,Home,0.0,ODI
297794,2007-10-02,Early 2000s,Nehru Stadium,Away,0.0,ODI
297795,2007-10-05,Early 2000s,"Rajiv Gandhi International Stadium, Uppal",Home,0.0,ODI
297796,2007-10-08,Early 2000s,Sector 16 Stadium,Away,1.0,ODI
297797,2007-10-11,Early 2000s,Reliance Stadium,Away,0.0,ODI
297798,2007-10-14,Early 2000s,Vidarbha Cricket Association Ground,Home,0.0,ODI
297799,2007-10-17,Early 2000s,Wankhede Stadium,Home,1.0,ODI
297801,2007-11-05,Early 2000s,Nehru Stadium,Away,1.0,ODI
297802,2007-11-08,Early 2000s,"Punjab Cricket Association Stadium, Mohali",Home,0.0,ODI
297803,2007-11-11,Early 2000s,Green Park,Home,1.0,ODI
297804,2007-11-15,Early 2000s,Captain Roop Singh Stadium,Away,1.0,ODI
297805,2007-11-18,Early 2000s,Sawai Mansingh Stadium,Home,0.0,ODI
335349,2008-06-25,Transition Era,National Stadium,Away,1.0,ODI
335351,2008-06-26,Transition Era,National Stadium,Away,1.0,ODI
335352,2008-06-28,Transition Era,National Stadium,Away,1.0,ODI
335355,2008-07-02,Transition Era,National Stadium,Away,0.0,ODI
335356,2008-07-03,Transition Era,National Stadium,Away,1.0,ODI
335358,2008-07-06,Transition Era,National Stadium,Away,0.0,ODI
343732,2008-08-18,Transition Era,Rangiri Dambulla International Stadium,Away,0.0,ODI
343733,2008-08-20,Transition Era,Rangiri Dambulla International Stadium,Away,1.0,ODI
343734,2008-08-24,Transition Era,R Premadasa Stadium,Away,1.0,ODI
343736,2008-08-29,Transition Era,R Premadasa Stadium,Away,0.0,ODI
345469,2008-06-10,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
345470,2008-06-12,Transition Era,Shere Bangla National Stadium,Away,1.0,ODI
345471,2008-06-14,Transition Era,Shere Bangla National Stadium,Away,0.0,ODI
361043,2008-11-14,Transition Era,Madhavrao Scindia Cricket Ground,Away,1.0,ODI
361044,2008-11-17,Transition Era,Maharani Usharaje Trust Cricket Ground,Away,1.0,ODI
361045,2008-11-20,Transition Era,Green Park,Home,0.0,ODI
361046,2008-11-23,Transition Era,M Chinnaswamy Stadium,Home,0.0,ODI
361047,2008-11-26,Transition Era,Barabati Stadium,Home,1.0,ODI
366341,2008-08-27,Transition Era,R Premadasa Stadium,Away,1.0,ODI
366623,2009-03-03,Transition Era,McLean Park,Away,1.0,ODI
366624,2009-03-11,Transition Era,Seddon Park,Away,0.0,ODI
366625,2009-03-14,Transition Era,Eden Park,Away,0.0,ODI
366626,2009-03-06,Transition Era,Westpac Stadium,Away,1.0,ODI
366627,2009-03-08,Transition Era,AMI Stadium,Away,1.0,ODI
377313,2009-06-26,Transition Era,"Sabina Park, Kingston",Away,1.0,ODI
377314,2009-06-28,Transition Era,"Sabina Park, Kingston",Away,0.0,ODI
377315,2009-07-03,Transition Era,"Beausejour Stadium, Gros Islet",Away,0.0,ODI
