Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,CS Pandit,DNB,-,-,-,-,-,1,,v England,Manchester,26 May 1986,
ODI,RMH Binny,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,C Sharma,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Australia,Jaipur,7 Sep 1986,
ODI,S Madan Lal,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,DB Vengsarkar,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,G Sharma,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,RP Singh,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Australia,Hyderabad (Deccan),24 Sep 1986,
ODI,RMH Binny,DNB,-,-,-,-,-,2,,v Australia,Delhi,2 Oct 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Australia,Delhi,2 Oct 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Australia,Rajkot,7 Oct 1986,
ODI,RS Ghai,DNB,-,-,-,-,-,1,,v Australia,Rajkot,7 Oct 1986,
ODI,RP Singh,DNB,-,-,-,-,-,1,,v Australia,Rajkot,7 Oct 1986,
ODI,S Madan Lal,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,RMH Binny,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,C Sharma,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Sri Lanka,Sharjah,27 Nov 1986,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v West Indies,Sharjah,30 Nov 1986,
ODI,S Madan Lal,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,NS Yadav,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,11 Jan 1987,
ODI,S Madan Lal,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,13 Jan 1987,
ODI,RJ Shastri,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,13 Jan 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,13 Jan 1987,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,13 Jan 1987,
ODI,RR Kulkarni,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,13 Jan 1987,
ODI,NS Yadav,DNB,-,-,-,-,-,1,,v Sri Lanka,Vadodara,15 Jan 1987,
ODI,S Madan Lal,DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,17 Jan 1987,
ODI,NS Yadav,DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,17 Jan 1987,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,17 Jan 1987,
ODI,CS Pandit,DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,17 Jan 1987,
ODI,RR Kulkarni,DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,17 Jan 1987,
