Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,RG Sharma,DNB,-,-,-,-,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,V Kohli,DNB,-,-,-,-,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,MK Pandey,DNB,-,-,-,-,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,RR Pant,DNB,-,-,-,-,1,,v West Indies,Lauderhill,3 Aug 2019,
T20,S Dhawan,DNB,-,-,-,-,2,,v West Indies,Lauderhill,4 Aug 2019,
T20,RG Sharma,DNB,-,-,-,-,2,,v West Indies,Lauderhill,4 Aug 2019,
T20,V Kohli,DNB,-,-,-,-,2,,v West Indies,Lauderhill,4 Aug 2019,
T20,MK Pandey,DNB,-,-,-,-,2,,v West Indies,Lauderhill,4 Aug 2019,
T20,RR Pant,DNB,-,-,-,-,2,,v West Indies,Lauderhill,4 Aug 2019,
T20,S Dhawan,DNB,-,-,-,-,1,,v West Indies,Providence,6 Aug 2019,
T20,V Kohli,DNB,-,-,-,-,1,,v West Indies,Providence,6 Aug 2019,
T20,MK Pandey,DNB,-,-,-,-,1,,v West Indies,Providence,6 Aug 2019,
