Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,AM Rahane,DNB,-,-,-,-,1,,v West Indies,Lauderhill,28 Aug 2016,
T20,KL Rahul,DNB,-,-,-,-,1,,v West Indies,Lauderhill,28 Aug 2016,
T20,MS Dhoni,DNB,-,-,-,-,2,,v England,Kanpur,26 Jan 2017,
T20,Yuvraj Singh,DNB,-,-,-,-,2,,v England,Kanpur,26 Jan 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v England,Kanpur,26 Jan 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v England,Kanpur,26 Jan 2017,
T20,KL Rahul,DNB,-,-,-,-,2,,v England,Kanpur,26 Jan 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,Yuvraj Singh,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,KL Rahul,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,HH Pandya,DNB,-,-,-,-,2,,v England,Nagpur,29 Jan 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v England,Bengaluru,1 Feb 2017,
T20,Yuvraj Singh,DNB,-,-,-,-,2,,v England,Bengaluru,1 Feb 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v England,Bengaluru,1 Feb 2017,
T20,KL Rahul,DNB,-,-,-,-,2,,v England,Bengaluru,1 Feb 2017,
T20,RR Pant,DNB,-,-,-,-,2,,v England,Bengaluru,1 Feb 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,KD Karthik,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,S Dhawan,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,KM Jadhav,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,RR Pant,DNB,-,-,-,-,2,,v West Indies,Kingston,9 Jul 2017,
T20,MS Dhoni,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,RG Sharma,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,V Kohli,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,MK Pandey,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,KM Jadhav,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,KL Rahul,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
T20,MS Dhoni,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,S Dhawan,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,RG Sharma,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,V Kohli,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,MK Pandey,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,KM Jadhav,DNB,-,-,-,-,1,,v Australia,Ranchi,7 Oct 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,S Dhawan,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,RG Sharma,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,KM Jadhav,DNB,-,-,-,-,2,,v Australia,Guwahati,10 Oct 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v New Zealand,Delhi,1 Nov 2017,
T20,S Dhawan,DNB,-,-,-,-,2,,v New Zealand,Delhi,1 Nov 2017,
T20,RG Sharma,DNB,-,-,-,-,2,,v New Zealand,Delhi,1 Nov 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v New Zealand,Delhi,1 Nov 2017,
T20,SS Iyer,DNB,-,-,-,-,2,,v New Zealand,Delhi,1 Nov 2017,
T20,MS Dhoni,DNB,-,-,-,-,1,,v New Zealand,Rajkot,4 Nov 2017,
T20,S Dhawan,DNB,-,-,-,-,1,,v New Zealand,Rajkot,4 Nov 2017,
T20,RG Sharma,DNB,-,-,-,-,1,,v New Zealand,Rajkot,4 Nov 2017,
T20,V Kohli,DNB,-,-,-,-,1,,v New Zealand,Rajkot,4 Nov 2017,
T20,SS Iyer,DNB,-,-,-,-,1,,v New Zealand,Rajkot,4 Nov 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,S Dhawan,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,RG Sharma,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,V Kohli,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,SS Iyer,DNB,-,-,-,-,2,,v New Zealand,Thiruvananthapuram,7 Nov 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,KD Karthik,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,RG Sharma,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,MK Pandey,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,KL Rahul,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,SS Iyer,DNB,-,-,-,-,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
T20,KD Karthik,DNB,-,-,-,-,2,,v Sri Lanka,Indore,22 Dec 2017,
