Format,Player,Overs,BPO,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,Mohammed Shami,9.5,6,0,57,7,5.79,2,,v New Zealand,Wankhede,15 Nov 2023,
ODI,STR Binny,4.4,6,2,4,6,0.85,2,,v Bangladesh,Mirpur,17 Jun 2014,
ODI,A Kumble,6.1,6,2,12,6,1.94,2,,v West Indies,Eden Gardens,27 Nov 1993,
ODI,JJ Bumrah,7.2,6,3,19,6,2.59,1,,v England,The Oval,12 Jul 2022,
ODI,Mohammed Siraj,7.0,6,1,21,6,3.0,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
ODI,A Nehra,10.0,6,2,23,6,2.3,2,,v England,Durban,26 Feb 2003,
ODI,Kuldeep Yadav,10.0,6,0,25,6,2.5,1,,v England,Nottingham,12 Jul 2018,
ODI,M Kartik,10.0,6,3,27,6,2.7,1,,v Australia,Wankhede,17 Oct 2007,
ODI,AB Agarkar,9.3,6,1,42,6,4.42,1,,v Australia,Melbourne,9 Jan 2004,
ODI,YS Chahal,10.0,6,0,42,6,4.2,1,,v Australia,Melbourne,18 Jan 2019,
ODI,A Mishra,8.5,6,0,48,6,5.43,1,,v Zimbabwe,Bulawayo,3 Aug 2013,
ODI,S Sreesanth,10.0,6,1,55,6,5.5,1,,v England,Indore,15 Apr 2006,
ODI,A Nehra,10.0,6,1,59,6,5.9,1,,v Sri Lanka,Colombo (RPS),9 Aug 2005,
ODI,SB Joshi,10.0,6,6,6,5,0.6,1,,v South Africa,Nairobi (Gym),26 Sep 1999,
ODI,RJ Shastri,6.5,6,1,15,5,2.19,2,,v Australia,W.A.C.A,8 Dec 1991,
ODI,SC Ganguly,10.0,6,3,16,5,1.6,2,,v Pakistan,Toronto,18 Sep 1997,
ODI,A Mishra,6.0,6,2,18,5,3.0,2,,v New Zealand,Visakhapatnam,29 Oct 2016,
ODI,Mohammed Shami,5.0,6,1,18,5,3.6,2,,v Sri Lanka,Wankhede,2 Nov 2023,
ODI,Arshad Ayub,9.0,6,0,21,5,2.33,1,,v Pakistan,Dhaka,31 Oct 1988,
ODI,N Chopra,6.2,6,2,21,5,3.31,2,,v West Indies,Toronto,14 Sep 1999,
ODI,RR Singh,5.0,6,0,22,5,4.4,1,,v Sri Lanka,Guwahati,22 Dec 1997,
ODI,YS Chahal,8.2,6,1,22,5,2.64,1,,v South Africa,Centurion,4 Feb 2018,
ODI,J Srinath,10.0,6,4,23,5,2.3,1,,v Bangladesh,Dhaka,10 Jan 1998,
ODI,J Srinath,6.4,6,1,24,5,3.6,1,,v Sri Lanka,Kanpur,7 Nov 1993,
ODI,Kuldeep Yadav,8.0,6,0,25,5,3.12,2,,v Pakistan,Colombo (RPS),10 Sep 2023,
ODI,SK Sharma,7.3,6,0,26,5,3.46,2,,v West Indies,Sharjah,16 Oct 1988,
ODI,K Srikkanth,7.0,6,0,27,5,3.85,1,,v New Zealand,Visakhapatnam,10 Dec 1988,
ODI,BKV Prasad,9.3,6,2,27,5,2.84,2,,v Pakistan,Manchester,8 Jun 1999,
ODI,IK Pathan,10.0,6,3,27,5,2.7,2,,v Zimbabwe,Harare,29 Aug 2005,
ODI,JJ Bumrah,10.0,6,2,27,5,2.7,1,,v Sri Lanka,Pallekele,27 Aug 2017,
ODI,RR Singh,9.3,6,0,31,5,3.26,2,,v Sri Lanka,Taunton,26 May 1999,
ODI,Harbhajan Singh,10.0,6,2,31,5,3.1,2,,v England,Delhi,28 Mar 2006,
ODI,Yuvraj Singh,10.0,6,0,31,5,3.1,1,,v Ireland,Bengaluru,6 Mar 2011,
ODI,K Srikkanth,6.0,6,0,32,5,5.33,2,,v New Zealand,Indore,15 Dec 1988,
ODI,SR Tendulkar,10.0,6,1,32,5,3.2,2,,v Australia,Kochi,1 Apr 1998,
ODI,A Kumble,10.0,6,0,33,5,3.3,2,,v New Zealand,Wellington,30 Mar 1994,
ODI,M Prabhakar,10.0,6,0,33,5,3.3,1,,v New Zealand,Amritsar,18 Nov 1995,
ODI,RA Jadeja,9.0,6,1,33,5,3.66,2,,v South Africa,Eden Gardens,5 Nov 2023,
ODI,SC Ganguly,10.0,6,1,34,5,3.4,1,,v Zimbabwe,Kanpur,11 Dec 2000,
ODI,M Prabhakar,10.0,6,0,35,5,3.5,1,,v Sri Lanka,Hyderabad (Deccan),18 Feb 1994,
ODI,RA Jadeja,10.0,6,2,36,5,3.6,1,,v West Indies,The Oval,11 Jun 2013,
ODI,Arshdeep Singh,10.0,6,0,37,5,3.7,1,,v South Africa,Johannesburg,17 Dec 2023,
ODI,J Srinath,9.0,6,1,41,5,4.55,1,,v England,Bengaluru,26 Feb 1993,
ODI,Z Khan,10.0,6,0,42,5,4.2,1,,v Sri Lanka,Margao,14 Feb 2007,
ODI,B Kumar,9.4,6,0,42,5,4.34,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,
ODI,CV Varun,10.0,6,0,42,5,4.2,2,,v New Zealand,Dubai (DICS),2 Mar 2025,
ODI,N Kapil Dev,12.0,6,2,43,5,3.58,1,,v Australia,Nottingham,13 Jun 1983,
ODI,Harbhajan Singh,10.0,6,1,43,5,4.3,1,,v England,Wankhede,3 Feb 2002,
ODI,AB Agarkar,9.5,6,1,44,5,4.47,1,,v Sri Lanka,Pune,3 Nov 2005,
ODI,SR Tendulkar,10.0,6,1,50,5,5.0,2,,v Pakistan,Kochi,2 Apr 2005,
ODI,Mohammed Shami,10.0,6,1,51,5,5.1,1,,v Australia,Mohali,22 Sep 2023,
ODI,Mohammed Shami,10.0,6,0,53,5,5.3,1,,v Bangladesh,Dubai (DICS),20 Feb 2025,
ODI,Mohammed Shami,10.0,6,0,54,5,5.4,1,,v New Zealand,Dharamsala,22 Oct 2023,
ODI,Harbhajan Singh,9.4,6,0,56,5,5.79,2,,v Sri Lanka,Colombo (RPS),14 Sep 2009,
ODI,IK Pathan,10.0,6,0,61,5,6.1,2,,v Sri Lanka,Pallekele,4 Aug 2012,
ODI,Mohammed Shami,10.0,6,1,69,5,6.9,1,,v England,Birmingham,30 Jun 2019,
ODI,Yuvraj Singh,4.3,6,2,6,4,1.33,2,,v Namibia,Pietermaritzburg,23 Feb 2003,
ODI,V Sehwag,2.5,6,0,6,4,2.11,1,,v Bangladesh,Dambulla,16 Jun 2010,
ODI,Kuldeep Yadav,3.0,6,2,6,4,2.0,1,,v West Indies,Bridgetown,27 Jul 2023,
ODI,B Kumar,6.0,6,1,8,4,1.33,2,,v Sri Lanka,Port of Spain,9 Jul 2013,
ODI,A Kumble,7.0,6,2,12,4,1.71,2,,v Pakistan,Toronto,18 Sep 1996,
ODI,M Prasidh Krishna,9.0,6,3,12,4,1.33,2,,v West Indies,Ahmedabad,9 Feb 2022,
ODI,Mohammed Shami,6.2,6,0,16,4,2.52,2,,v West Indies,Manchester,27 Jun 2019,
ODI,BKV Prasad,5.0,6,1,17,4,3.4,1,,v Pakistan,Colombo (SSC),20 Jul 1997,
ODI,YS Chahal,4.0,6,0,17,4,4.25,2,,v West Indies,Port of Spain,27 Jul 2022,
ODI,AB Agarkar,9.0,6,2,18,4,2.0,2,,v Zimbabwe,Harare,29 Aug 2005,
ODI,Kuldeep Yadav,4.1,6,1,18,4,4.32,1,,v South Africa,Delhi,11 Oct 2022,
ODI,M Prabhakar,8.0,6,1,19,4,2.37,1,,v Zimbabwe,Wankhede,17 Oct 1987,
ODI,Z Khan,7.3,6,1,19,4,2.53,2,,v Bangladesh,Dhaka,11 Apr 2003,
ODI,S Madan Lal,8.2,6,3,20,4,2.4,2,,v Australia,Chelmsford,20 Jun 1983,
ODI,SC Ganguly,4.0,6,0,21,4,5.25,2,,v Sri Lanka,Nagpur,22 Mar 1999,
ODI,Z Khan,9.5,6,3,21,4,2.13,1,,v Sri Lanka,Dambulla,20 Aug 2008,
ODI,Maninder Singh,9.0,6,2,22,4,2.44,2,,v Pakistan,Sharjah,5 Dec 1986,
ODI,MM Sharma,8.0,6,2,22,4,2.75,2,,v Bangladesh,Mirpur,17 Jun 2014,
ODI,JJ Bumrah,10.0,6,1,22,4,2.2,1,,v Zimbabwe,Harare,15 Jun 2016,
ODI,Mohammed Shami,7.0,6,2,22,4,3.14,2,,v England,Lucknow,29 Oct 2023,
ODI,BKV Prasad,10.0,6,2,23,4,2.3,1,,v Kenya,Eden Gardens,31 May 1998,
ODI,J Srinath,10.0,6,3,23,4,2.3,2,,v New Zealand,Auckland,26 Dec 2002,
ODI,PP Chawla,10.0,6,2,23,4,2.3,2,,v Hong Kong,Karachi,25 Jun 2008,
ODI,RA Jadeja,7.5,6,1,23,4,2.93,1,,v Sri Lanka,Port of Spain,11 Jul 2013,
ODI,Kuldeep Yadav,9.0,6,1,23,4,2.55,2,,v South Africa,Cape Town,7 Feb 2018,
ODI,IK Pathan,10.0,6,1,24,4,2.4,1,,v Zimbabwe,W.A.C.A,3 Feb 2004,
ODI,HH Pandya,7.0,6,3,24,4,3.42,1,,v England,Manchester,17 Jul 2022,
ODI,M Prabhakar,7.4,6,1,25,4,3.26,2,,v Pakistan,Sharjah,18 Oct 1991,
ODI,A Kumble,8.2,6,0,25,4,3.0,2,,v South Africa,Wankhede,6 Nov 1996,
ODI,AB Agarkar,9.4,6,0,25,4,2.58,1,,v Zimbabwe,Kanpur,11 Dec 2000,
ODI,R Ashwin,10.0,6,1,25,4,2.5,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
ODI,BKV Prasad,8.0,6,1,27,4,3.37,2,,v South Africa,Wankhede,14 Dec 1996,
ODI,AB Agarkar,10.0,6,2,27,4,2.7,1,,v Kenya,Bloemfontein,12 Oct 2001,
ODI,Avesh Khan,8.0,6,3,27,4,3.37,1,,v South Africa,Johannesburg,17 Dec 2023,
ODI,Yuvraj Singh,10.0,6,0,28,4,2.8,2,,v England,Indore,17 Nov 2008,
ODI,RA Jadeja,7.0,6,0,28,4,4.0,2,,v England,Cardiff,27 Aug 2014,
ODI,JJ Bumrah,9.5,6,2,28,4,2.84,1,,v Zimbabwe,Harare,11 Jun 2016,
ODI,RMH Binny,8.0,6,2,29,4,3.62,2,,v Australia,Chelmsford,20 Jun 1983,
ODI,MM Patel,8.0,6,0,29,4,3.62,2,,v South Africa,Johannesburg,15 Jan 2011,
ODI,RA Jadeja,10.0,6,0,29,4,2.9,1,,v Bangladesh,Dubai (DICS),21 Sep 2018,
ODI,DR Doshi,10.0,6,0,30,4,3.0,2,,v New Zealand,Brisbane,21 Dec 1980,
ODI,N Kapil Dev,9.0,6,0,30,4,3.33,1,,v Australia,Melbourne,31 Jan 1986,
ODI,M Prabhakar,9.5,6,0,30,4,3.05,2,,v West Indies,Sharjah,19 Oct 1991,
ODI,J Srinath,10.0,6,2,30,4,3.0,2,,v Australia,Sydney,14 Jan 2000,
ODI,J Srinath,9.1,6,1,30,4,3.27,2,,v Netherlands,Paarl,12 Feb 2003,
ODI,R Vinay Kumar,9.0,6,1,30,4,3.33,1,,v England,Delhi,17 Oct 2011,
ODI,RA Jadeja,10.0,6,1,30,4,3.0,1,,v Afghanistan,Mirpur,5 Mar 2014,
ODI,Arshdeep Singh,9.0,6,1,30,4,3.33,2,,v South Africa,Paarl,21 Dec 2023,
ODI,N Kapil Dev,9.0,6,0,31,4,3.44,1,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,P Kumar,10.0,6,2,31,4,3.1,1,,v Sri Lanka,Hobart,26 Feb 2008,
ODI,A Mishra,10.0,6,2,31,4,3.1,1,,v West Indies,Port of Spain,8 Jun 2011,
ODI,UT Yadav,9.0,6,1,31,4,3.44,2,,v Bangladesh,Melbourne,19 Mar 2015,
ODI,B Kumar,8.0,6,0,31,4,3.87,2,,v West Indies,Port of Spain,11 Aug 2019,
ODI,AB Agarkar,10.0,6,2,32,4,3.2,1,,v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
ODI,A Kumble,10.0,6,1,32,4,3.2,2,,v Netherlands,Paarl,12 Feb 2003,
ODI,RA Jadeja,10.0,6,0,32,4,3.2,1,,v Sri Lanka,Cuttack,21 Dec 2009,
ODI,IK Pathan,8.1,6,1,32,4,3.91,2,,v Sri Lanka,Mirpur,13 Mar 2012,
ODI,Mohammed Siraj,10.0,6,1,32,4,3.2,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
ODI,A Kumble,10.0,6,2,33,4,3.3,1,,v Zimbabwe,Colombo (SSC),1 Sep 1996,
ODI,N Chopra,8.3,6,0,33,4,3.88,2,,v Zimbabwe,Nairobi (Gym),1 Oct 1999,
ODI,Harbhajan Singh,9.1,6,0,33,4,3.6,2,,v Zimbabwe,Guwahati,19 Mar 2002,
ODI,RA Jadeja,8.0,6,0,33,4,4.12,2,,v England,Eden Gardens,25 Oct 2011,
ODI,B Kumar,10.0,6,3,33,4,3.3,2,,v Zimbabwe,Harare,12 Jul 2015,
ODI,SR Tendulkar,10.0,6,1,34,4,3.4,1,,v West Indies,Sharjah,22 Oct 1991,
ODI,AB Agarkar,9.0,6,0,34,4,3.77,1,,v England,Chennai,25 Jan 2002,
ODI,I Sharma,8.0,6,1,34,4,4.25,2,,v Sri Lanka,Cuttack,2 Nov 2014,
ODI,DS Kulkarni,10.0,6,1,34,4,3.4,2,,v Sri Lanka,Eden Gardens,13 Nov 2014,
ODI,RA Jadeja,9.5,6,1,34,4,3.45,1,,v West Indies,Thiruvananthapuram,1 Nov 2018,
ODI,RMH Binny,8.2,6,3,35,4,4.2,1,,v Pakistan,Melbourne,20 Feb 1985,
ODI,J Srinath,10.0,6,0,35,4,3.5,2,,v Sri Lanka,Singapore,3 Apr 1996,
ODI,AB Agarkar,10.0,6,2,35,4,3.5,2,,v New Zealand,Sharjah,17 Apr 1998,
ODI,J Srinath,9.0,6,1,35,4,3.88,2,,v Sri Lanka,Johannesburg,10 Mar 2003,
ODI,A Nehra,7.0,6,1,35,4,5.0,2,,v Sri Lanka,Johannesburg,10 Mar 2003,
ODI,RP Singh,8.5,6,2,35,4,3.96,1,,v Sri Lanka,Rajkot,9 Nov 2005,
ODI,Mohammed Shami,9.0,6,1,35,4,3.88,2,,v Pakistan,Adelaide,15 Feb 2015,
ODI,JJ Bumrah,10.0,6,1,35,4,3.5,1,,v West Indies,Pune,27 Oct 2018,
ODI,Mohammed Shami,9.3,6,0,36,4,3.78,2,,v West Indies,Delhi,11 Oct 2014,
ODI,S Madan Lal,8.0,6,1,37,4,4.62,1,,v New Zealand,Sydney,5 Mar 1985,
ODI,AB Agarkar,9.0,6,0,37,4,4.11,1,,v Australia,Wankhede,1 Nov 2003,
ODI,IK Pathan,8.0,6,0,37,4,4.62,1,,v Sri Lanka,Mohali,28 Oct 2005,
ODI,SN Thakur,6.3,6,0,37,4,5.69,2,,v West Indies,Tarouba,1 Aug 2023,
ODI,RJ Shastri,10.0,6,0,38,4,3.8,2,,v Pakistan,Eden Gardens,18 Feb 1987,
ODI,SR Tendulkar,9.1,6,0,38,4,4.14,2,,v Australia,Dhaka,28 Oct 1998,
ODI,SB Joshi,10.0,6,1,38,4,3.8,1,,v South Africa,Jamshedpur,12 Mar 2000,
ODI,I Sharma,9.1,6,1,38,4,4.14,1,,v Australia,Melbourne,10 Feb 2008,
ODI,PP Ojha,10.0,6,0,38,4,3.8,2,,v Sri Lanka,Colombo (RPS),3 Feb 2009,
ODI,Kuldeep Yadav,10.0,6,1,39,4,3.9,1,,v New Zealand,Napier,23 Jan 2019,
ODI,JJ Bumrah,10.0,6,0,39,4,3.9,1,,v Afghanistan,Delhi,11 Oct 2023,
ODI,Harshit Rana,8.4,6,0,39,4,4.5,1,,v Australia,Sydney,25 Oct 2025,
ODI,RJ Shastri,10.0,6,1,40,4,4.0,1,,v England,Nagpur,23 Jan 1985,
ODI,A Kumble,10.0,6,0,40,4,4.0,1,,v South Africa,Hamilton,18 Feb 1995,
ODI,A Kumble,9.4,6,0,40,4,4.13,2,,v Pakistan,Adelaide,25 Jan 2000,
ODI,RP Singh,10.0,6,0,40,4,4.0,1,,v Pakistan,Multan,16 Feb 2006,
ODI,PP Chawla,8.4,6,0,40,4,4.61,2,,v Pakistan,Mirpur,10 Jun 2008,
ODI,A Nehra,9.0,6,0,40,4,4.44,2,,v Sri Lanka,Dambulla,24 Jun 2010,
ODI,I Sharma,10.0,6,1,40,4,4.0,1,,v South Africa,Centurion,11 Dec 2013,
ODI,Mohammed Shami,9.5,6,1,40,4,4.06,2,,v Afghanistan,Southampton,22 Jun 2019,
ODI,RMH Binny,9.5,6,1,41,4,4.16,2,,v New Zealand,W.A.C.A,9 Dec 1980,
ODI,IK Pathan,10.0,6,1,41,4,4.1,1,,v Australia,Adelaide,17 Feb 2008,
ODI,I Sharma,10.0,6,0,41,4,4.1,1,,v Sri Lanka,Hobart,26 Feb 2008,
ODI,JD Unadkat,10.0,6,3,41,4,4.1,2,,v Zimbabwe,Harare,26 Jul 2013,
ODI,Kuldeep Yadav,10.0,6,1,41,4,4.1,1,,v South Africa,Visakhapatnam,6 Dec 2025,
ODI,Z Khan,10.0,6,0,42,4,4.2,1,,v Zimbabwe,Sharjah,26 Oct 2000,
ODI,Z Khan,10.0,6,0,42,4,4.2,1,,v Zimbabwe,Bulawayo,27 Jun 2001,
ODI,Z Khan,8.0,6,0,42,4,5.25,1,,v New Zealand,Centurion,14 Mar 2003,
ODI,ND Hirwani,10.0,6,0,43,4,4.3,2,,v New Zealand,Sharjah,27 Mar 1988,
ODI,A Kuruvilla,8.4,6,1,43,4,4.96,1,,v Sri Lanka,Colombo (SSC),24 Aug 1997,
ODI,JJ Bumrah,10.0,6,2,43,4,4.3,1,,v Sri Lanka,Pallekele,24 Aug 2017,
ODI,Kuldeep Yadav,9.3,6,0,43,4,4.52,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,
ODI,DR Doshi,10.0,6,0,44,4,4.4,2,,v Sri Lanka,Amritsar,12 Sep 1982,
ODI,Z Khan,10.0,6,2,45,4,4.5,2,,v Zimbabwe,Colombo (RPS),14 Sep 2002,
ODI,B Kumar,10.0,6,0,45,4,4.5,1,,v Australia,Adelaide,15 Jan 2019,
ODI,Kuldeep Yadav,10.0,6,0,45,4,4.5,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
ODI,ND Hirwani,10.0,6,0,46,4,4.6,2,,v New Zealand,Sharjah,1 Apr 1988,
ODI,SLV Raju,9.0,6,0,46,4,5.11,2,,v West Indies,Jaipur,11 Nov 1994,
ODI,AB Agarkar,10.0,6,0,46,4,4.6,1,,v Australia,Kanpur,7 Apr 1998,
ODI,Harbhajan Singh,10.0,6,0,46,4,4.6,2,,v Sri Lanka,Bristol,11 Jul 2002,
ODI,P Kumar,10.0,6,2,46,4,4.6,2,,v Australia,Brisbane,4 Mar 2008,
ODI,YS Chahal,9.0,6,0,46,4,5.11,2,,v South Africa,Cape Town,7 Feb 2018,
ODI,Mohammed Siraj,10.0,6,2,46,4,4.6,2,,v New Zealand,Hyderabad,18 Jan 2023,
ODI,Z Khan,10.0,6,2,47,4,4.7,2,,v Zimbabwe,Faridabad,7 Mar 2002,
ODI,A Nehra,9.5,6,1,47,4,4.77,1,,v New Zealand,Dambulla,10 Aug 2010,
ODI,S Sreesanth,9.0,6,1,47,4,5.22,1,,v New Zealand,Jaipur,1 Dec 2010,
ODI,A Mishra,10.0,6,0,47,4,4.7,1,,v Zimbabwe,Harare,28 Jul 2013,
ODI,YS Chahal,10.0,6,0,47,4,4.7,1,,v England,Lord's,14 Jul 2022,
ODI,L Balaji,10.0,6,0,48,4,4.8,2,,v Australia,Brisbane,18 Jan 2004,
ODI,MM Patel,10.0,6,0,48,4,4.8,2,,v Bangladesh,Mirpur,19 Feb 2011,
ODI,Mohammed Shami,10.0,6,0,48,4,4.8,1,,v West Indies,Kingston,6 Jul 2017,
ODI,J Srinath,10.0,6,0,49,4,4.9,2,,v Pakistan,Brisbane,10 Jan 2000,
ODI,MM Patel,9.0,6,0,49,4,5.44,1,,v Sri Lanka,Rajkot,11 Feb 2007,
ODI,YS Chahal,9.5,6,0,49,4,4.98,1,,v West Indies,Ahmedabad,6 Feb 2022,
ODI,ND Hirwani,10.0,6,1,50,4,5.0,2,,v West Indies,Sharjah,16 Oct 1988,
ODI,A Kumble,10.0,6,0,50,4,5.0,2,,v West Indies,Sharjah,19 Oct 1991,
ODI,Mohammed Shami,10.0,6,1,50,4,5.0,1,,v Bangladesh,Fatullah,26 Feb 2014,
ODI,IK Pathan,10.0,6,0,51,4,5.1,2,,v England,Margao,3 Apr 2006,
ODI,YS Chahal,10.0,6,0,51,4,5.1,1,,v South Africa,Southampton,5 Jun 2019,
ODI,J Srinath,9.2,6,1,52,4,5.57,2,,v New Zealand,Napier,16 Feb 1995,
ODI,SN Thakur,8.5,6,0,52,4,5.88,1,,v South Africa,Centurion,16 Feb 2018,
ODI,AB Agarkar,10.0,6,0,53,4,5.3,2,,v Sri Lanka,Colombo (RPS),7 Jul 1998,
ODI,A Kumble,10.0,6,0,53,4,5.3,1,,v Pakistan,Jaipur,24 Mar 1999,
ODI,P Kumar,9.0,6,1,53,4,5.88,2,,v Pakistan,Mirpur,10 Jun 2008,
ODI,UT Yadav,9.0,6,0,53,4,5.88,1,,v Sri Lanka,Hyderabad,9 Nov 2014,
ODI,N Kapil Dev,10.0,6,1,54,4,5.4,2,,v West Indies,Adelaide,14 Dec 1991,
ODI,M Prabhakar,10.0,6,0,54,4,5.4,1,,v England,Gwalior,4 Mar 1993,
ODI,SR Tendulkar,9.0,6,2,54,4,6.0,2,,v Bangladesh,Dhaka,27 Dec 2004,
ODI,M Prasidh Krishna,8.1,6,1,54,4,6.61,2,,v England,Pune,23 Mar 2021,
ODI,A Nehra,10.0,6,0,55,4,5.5,1,,v Pakistan,Centurion,26 Sep 2009,
ODI,Mohammed Shami,9.0,6,0,55,4,6.11,1,,v New Zealand,Napier,19 Jan 2014,
ODI,JJ Bumrah,10.0,6,1,55,4,5.5,2,,v Bangladesh,Birmingham,2 Jul 2019,
ODI,DS Mohanty,10.0,6,0,56,4,5.6,2,,v Kenya,Bristol,23 May 1999,
ODI,SR Tendulkar,10.0,6,0,56,4,5.6,2,,v South Africa,Faridabad,15 Mar 2000,
ODI,I Sharma,10.0,6,1,57,4,5.7,2,,v Sri Lanka,Colombo (RPS),31 Jan 2009,
ODI,Kuldeep Yadav,10.0,6,0,57,4,5.7,2,,v South Africa,Gqeberha,13 Feb 2018,
ODI,SLV Raju,10.0,6,0,58,4,5.8,2,,v West Indies,Eden Gardens,5 Nov 1994,
ODI,S Sreesanth,10.0,6,1,58,4,5.8,1,,v Pakistan,Karachi,19 Feb 2006,
ODI,AB Agarkar,10.0,6,0,60,4,6.0,2,,v England,Manchester,30 Aug 2007,
ODI,MK Tiwary,10.0,6,1,61,4,6.1,1,,v Sri Lanka,Colombo (RPS),31 Jul 2012,
ODI,Mohammed Shami,10.0,6,0,63,4,6.3,1,,v Australia,Bengaluru,19 Jan 2020,
ODI,Mohammed Shami,9.0,6,1,66,4,7.33,1,,v West Indies,Kochi,8 Oct 2014,
ODI,M Prasidh Krishna,9.5,6,0,66,4,6.71,1,,v South Africa,Visakhapatnam,6 Dec 2025,
ODI,SN Thakur,10.0,6,0,67,4,6.7,2,,v England,Pune,28 Mar 2021,
ODI,Kuldeep Yadav,10.0,6,0,68,4,6.8,2,,v South Africa,Ranchi,30 Nov 2025,
ODI,UT Yadav,10.0,6,0,71,4,7.1,1,,v Australia,Bengaluru,28 Sep 2017,
ODI,A Nehra,10.0,6,0,72,4,7.2,2,,v Pakistan,Visakhapatnam,5 Apr 2005,
ODI,UT Yadav,9.0,6,0,72,4,8.0,1,,v Australia,Sydney,26 Mar 2015,
ODI,I Sharma,10.0,6,0,77,4,7.7,1,,v Australia,Canberra,20 Jan 2016,
ODI,A Jadeja,1.0,6,0,3,3,3.0,2,,v England,Sharjah,9 Apr 1999,
ODI,HH Pandya,2.2,6,0,3,3,1.28,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
ODI,M Prabhakar,5.0,6,2,5,3,1.0,1,,v Pakistan,Karachi,20 Dec 1989,
ODI,B Kumar,6.1,6,2,9,3,1.45,2,,v Australia,Eden Gardens,21 Sep 2017,
ODI,S Madan Lal,8.0,6,2,11,3,1.37,1,,v Sri Lanka,Sharjah,8 Apr 1984,
ODI,M Amarnath,7.0,6,0,12,3,1.71,2,,v West Indies,Lord's,25 Jun 1983,
ODI,K Srikkanth,3.2,6,0,12,3,3.6,1,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,RR Singh,9.0,6,2,13,3,1.44,1,,v Bangladesh,Colombo (SSC),24 Jul 1997,
ODI,J Srinath,10.0,6,2,13,3,1.3,1,,v New Zealand,Auckland,11 Jan 2003,
ODI,KK Ahmed,5.0,6,0,13,3,2.6,2,,v West Indies,Brabourne,29 Oct 2018,
ODI,AB Agarkar,6.0,6,0,14,3,2.33,2,,v Sri Lanka,Nagpur,22 Mar 1999,
ODI,A Kumble,10.0,6,4,14,3,1.4,1,,v Kenya,Bloemfontein,12 Oct 2001,
ODI,Z Khan,9.2,6,2,14,3,1.5,2,,v Kenya,Durban,20 Mar 2003,
ODI,S Madan Lal,9.3,6,2,15,3,1.57,1,,v East Africa,Leeds,11 Jun 1975,
ODI,DS Mohanty,7.0,6,1,15,3,2.14,1,,v Pakistan,Toronto,14 Sep 1997,
ODI,B Kumar,7.0,6,1,15,3,2.14,1,,v Pakistan,Dubai (DICS),19 Sep 2018,
ODI,Mohammed Siraj,7.0,6,2,16,3,2.28,2,,v Sri Lanka,Wankhede,2 Nov 2023,
ODI,N Kapil Dev,6.5,6,1,17,3,2.48,2,,v Pakistan,Sharjah,22 Mar 1985,
ODI,A Kumble,8.0,6,0,17,3,2.12,1,,v New Zealand,Brabourne,29 Nov 1995,
ODI,A Kumble,10.0,6,4,17,3,1.7,1,,v Bangladesh,Wankhede,25 May 1998,
ODI,SB Joshi,10.0,6,1,17,3,1.7,2,,v Sri Lanka,Sharjah,9 Nov 1998,
ODI,Mohammed Shami,6.0,6,2,17,3,2.83,1,,v Australia,Wankhede,17 Mar 2023,
ODI,DS Mohanty,10.0,6,1,18,3,1.8,1,,v West Indies,Bulawayo,30 Jun 2001,
ODI,AB Agarkar,7.0,6,2,18,3,2.57,2,,v Bangladesh,Dhaka,11 Apr 2003,
ODI,MM Patel,8.0,6,2,18,3,2.25,1,,v England,Jaipur,15 Oct 2006,
ODI,Mohammed Shami,6.0,6,1,18,3,3.0,1,,v New Zealand,Raipur,21 Jan 2023,
ODI,M Azharuddin,3.5,6,0,19,3,4.95,2,,v Australia,Delhi,22 Oct 1987,
ODI,SLV Raju,8.0,6,0,19,3,2.37,2,,v Sri Lanka,Jalandhar,20 Feb 1994,
ODI,RA Jadeja,6.2,6,0,19,3,3.0,1,,v England,Ranchi,19 Jan 2013,
ODI,Mohammed Shami,6.0,6,2,19,3,3.16,1,,v New Zealand,Napier,23 Jan 2019,
ODI,Arshad Ayub,9.0,6,2,20,3,2.22,1,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,RR Singh,4.0,6,0,20,3,5.0,2,,v Sri Lanka,Colombo (SSC),23 Aug 1997,
ODI,L Balaji,6.0,6,0,20,3,3.33,1,,v Australia,Amstelveen,23 Aug 2004,
ODI,IK Pathan,8.0,6,1,20,3,2.5,1,,v South Africa,Wankhede,28 Nov 2005,
ODI,Z Khan,6.4,6,0,20,3,3.0,1,,v Netherlands,Delhi,9 Mar 2011,
ODI,Kuldeep Yadav,6.0,6,0,20,3,3.33,1,,v South Africa,Centurion,4 Feb 2018,
ODI,Maninder Singh,10.0,6,0,21,3,2.1,1,,v Zimbabwe,Wankhede,17 Oct 1987,
