match_id,start_date,venue,venue_type,era_label,win_loss_flag,format,india_runs,india_balls,india_sr,india_boundaries,india_bat_first,india_first_innings_score,india_bowl_econ,india_bowl_wkts,india_dbp
66369,2003-11-06,"Barabati Stadium, Cuttack",Home,Early 2000s,0.0,ODI,238,300,79.33,25,1,238,5.242,6,0.5368
66372,2003-11-15,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Home,Early 2000s,1.0,ODI,340,300,113.33,44,1,340,4.426,10,0.6135
66374,2004-08-21,VRA Cricket Ground,Away,Early 2000s,0.0,ODI,122,162,75.31,9,0,0,5.818,6,0.4646
66375,2004-08-23,VRA Cricket Ground,Away,Early 2000s,0.0,ODI,0,0,,0,0,0,5.526,7,0.4526
214742,2005-07-31,Rangiri Dambulla International Stadium,Away,Early 2000s,1.0,ODI,156,216,72.22,23,0,0,3.734,10,0.6364
217481,2005-08-29,Harare Sports Club,Away,Early 2000s,1.0,ODI,208,299,69.57,21,1,208,2.653,10,0.8163
217979,2005-09-04,Harare Sports Club,Away,Early 2000s,1.0,ODI,242,289,83.74,24,0,0,5.0,10,0.6267
218250,2005-09-06,Harare Sports Club,Away,Early 2000s,0.0,ODI,254,297,85.52,31,1,254,5.772,4,0.5087
223018,2005-10-25,Vidarbha C.A. Ground,Home,Early 2000s,1.0,ODI,337,300,112.33,42,1,337,5.551,10,0.6028
223334,2005-10-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Home,Early 2000s,1.0,ODI,116,122,95.08,17,0,0,3.421,10,0.6869
223902,2005-11-03,Nehru Stadium,Away,Early 2000s,1.0,ODI,254,274,92.7,28,0,0,5.237,10,0.5284
224231,2005-11-06,"Sardar Patel (Gujarat) Stadium, Motera",Home,Early 2000s,0.0,ODI,268,300,89.33,27,1,268,6.0,5,0.486
224556,2005-11-09,Madhavrao Scindia Cricket Ground,Away,Early 2000s,1.0,ODI,186,209,89.0,28,0,0,4.576,10,0.6342
225437,2005-11-12,Reliance Stadium,Away,Early 2000s,1.0,ODI,233,237,98.31,35,0,0,4.88,9,0.6
225959,2005-11-16,"Rajiv Gandhi International Stadium, Uppal",Home,Early 2000s,0.0,ODI,238,300,79.33,29,1,238,5.16,5,0.5563
226359,2005-11-28,Wankhede Stadium,Home,Early 2000s,1.0,ODI,212,285,74.39,30,0,0,4.42,6,0.5233
235831,2006-02-06,Arbab Niaz Stadium,Away,Early 2000s,1.0,ODI,312,298,104.7,45,1,312,6.617,7,0.4929
236520,2006-02-11,Rawalpindi Cricket Stadium,Away,Early 2000s,1.0,ODI,252,259,97.3,34,0,0,5.372,10,0.527
236809,2006-02-13,Gaddafi Stadium,Away,Early 2000s,1.0,ODI,270,286,94.41,44,0,0,5.76,8,0.51
237222,2006-02-16,Multan Cricket Stadium,Away,Early 2000s,1.0,ODI,154,195,78.97,27,0,0,3.849,10,0.6653
237571,2006-02-19,National Stadium,Away,Early 2000s,1.0,ODI,272,281,96.8,36,0,0,5.739,8,0.4916
238188,2006-03-28,Feroz Shah Kotla,Home,Early 2000s,1.0,ODI,182,280,65.0,25,1,182,4.297,10,0.7031
238189,2006-03-31,Nahar Singh Stadium,Away,Early 2000s,1.0,ODI,209,293,71.33,24,0,0,4.535,10,0.5485
238190,2006-04-03,"Nehru Stadium, Fatorda",Away,Early 2000s,1.0,ODI,275,300,91.67,33,1,275,5.017,10,0.5461
238193,2006-04-12,Keenan Stadium,Away,Early 2000s,0.0,ODI,205,288,71.18,24,1,205,5.32,6,0.5977
238194,2006-04-15,Maharani Usharaje Trust Cricket Ground,Away,Early 2000s,1.0,ODI,272,295,92.2,31,0,0,5.779,10,0.5351
239916,2006-05-20,"Sabina Park, Kingston",Away,Early 2000s,0.0,ODI,180,298,60.4,15,0,0,3.96,9,0.6167
239917,2006-05-23,"Warner Park, Basseterre",Away,Early 2000s,0.0,ODI,229,300,76.33,19,1,229,4.977,6,0.5418
